Tweet,Keluhan,Respon,Other,
"@EL_Atheos @ridwankamil ya mungkin karena perempuan bj merah yg paling kelihatan karena berada di depan, laki2 jg sering jadi bahan joke RK",,,Ya,
@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun,Ya,,,
Di tribun jabar biasanya suka di post agenda kang emil. Tapi gak setiap hari sih. RT @Ry_ory: Klo saya k Bdg bs ketemu Kang @ridwankamil dmn,,,Ya,
@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq,Ya,,,
"@diskamtam bapak/ibu mau tanya, kalo pemeliharaan taman2 yg banyak dibagun skr gimana nantinya?",,,Ya,
Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE,Ya,,,
"@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...",Ya,,,
"RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk",Ya,,,
"@pdamtirtawening ternyata sudah ada warga yg konfirm ke pdam,katanya: air tidak akan mengalir selama 1 bulan krn ada perbaikan @ridwankamil",, ,Ya,
"Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n",Ya,,,
RT @AdamMaulud: Didinyamah kieu ?? bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…,Ya,,,
"Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((",Ya,,,
@dbmpkotabdg @ridwankamil hatur nuhun dbmp lampu jl.merdeka atos sae,,,Ya,
"Kalo @PemkotBandung @ridwankamil mau batasi kendaraan, yg feasible dan bisa dilakukan segera dlm wewenang mrk: berantas parkir badan jalan.",,,Ya,
"RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :…",Ya,,,
"Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil",Ya,,,
