TweetProcessed,Keluhan,Respon,Other
atheos mungkin perempuan bj merah yg paling lihat ada depan laki2 jg sering jadi bahan joke rk,0.0,0.0,1.0
kang teman timpa pohn dijln sangkuriang dpn polsek coblong tlg tertib phn yg sdh lapuknuhun,1.0,0.0,0.0
di tribun jabar biasa suka post agenda kang emil tapi gak hari sih rt ory klo k bdg bs ketemu kang dmn,0.0,0.0,1.0
rt lapor pak lampu terang jalan depan kampus lpkia ngaplek,1.0,0.0,0.0
bapakibu mau tanya kalo pelihara taman2 yg banyak dibagun skr gimana nanti,0.0,0.0,1.0
pa tempat kerja tgl 25 tetep masuk gimana atur pa kalo misal ga masuk potong gaji,1.0,0.0,0.0
00106700466 punten minggu air pdam alir mohon bantu segera,1.0,0.0,0.0
rt anak sma tahu curi hem bip hari pak,1.0,0.0,0.0
nyata warga yg konfirm pdamkatanya air alir lama 1 bulan krn baik,0.0,0.0,1.0
kang jalan muararajeun baru baru bulan dibenerinudah rusak yang ngerjain kaya ga serius,1.0,0.0,0.0
rt didinyamah kieu bosss maha pak daerah sapharuhai yeuh kang parkir liar seeur pis atuhda,1.0,0.0,0.0
pak punten marahin motor yg ga pake spakbor belakang udah mah td hujan wajah rupawan sy kacepretan,1.0,0.0,0.0
hatur nuhun dbmp lampu jlmerdeka atos sae,0.0,0.0,1.0
kalo mau batas kendara yg feasible laku segera dlm wewenang mrk berantas parkir badan jalan,0.0,0.0,1.0
rt pak punten marahin motor yg ga pake spakbor belakang udah mah td hujan wajah rupawan sy kacepretan,1.0,0.0,0.0
pak tadi habis kebun binatang bersih kurang orangutannya jomblo pak mohon solusi pak,1.0,0.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
bonbin bandung kurang awat kasi sama hewan hewan pak coba bonbin bandung bikin kayak singapore zoo,1.0,0.0,0.0
pak sy pnya saran angkot 08 antapani yg coklat lebur sj tp arah trayek bagi 2 kyk cimbeuleuit dl,0.0,0.0,1.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
pak sya lg mau pulang naek diangkot cheum ledeng ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2,0.0,0.0,0.0
kotabdg seperti buat jlnan macet adlah prmptan hrsnya jambtn lyang tiap empat,1.0,0.0,0.0
kalau macet begini lihat depan apa macet angkotbus ngetem sumber titik macet,1.0,0.0,0.0
saurwargi tolg ad orang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebus 10rb,1.0,0.0,0.0
jabar kotabdg dukung rencana badan hukum angkot jgn kasus metromini tjd bgr,0.0,0.0,1.0
rt bdg saurwargi tolg ad orang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebus 10rb,1.0,0.0,0.0
atheos he he perempuan belum dh tanya sama rk dah nikah pa single,0.0,0.0,1.0
punten baru denger berita apa tertib modus ambil kunci motor,0.0,0.0,1.0
min kalau lihat foto bawah benar jl cemara milik trotoar ga tx,0.0,0.0,1.0
rt min kalau lihat foto bawah benar jl cemara milik trotoar ga tx,0.0,0.0,1.0
mohon aman pa ogah per4an pasar suci cihaurgeulis buat jalan suci macet total amp kacau nuhun perhatiana,1.0,0.0,0.0
mohon pasang tiang utk lampu merah di per4an pasar suci cihaurgeulis sering jadi macet total,1.0,0.0,0.0
tuju panjang jl riau banyak yg parkir malah yg trotoar,1.0,0.0,0.0
ass pak kiaracondong bnyk lampu jalan yg mati bbk sari1mohon baik kircon babakansari,1.0,0.0,0.0
pak wali upam angkot bandung maha nasibna di jakarta metromini tos jadi korban,0.0,0.0,1.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
rt 2112 urc cibeunying eru salur jl veteran jl sunda https,0.0,1.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
rt sate pak iyeu jalmi ngabalaan jalan kota bandungngabagikeun pamplet awur2 jalan,1.0,0.0,0.0
wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
anak kecil ajah jalan2 pke helm masa naik motor engga eta maksad na mah panginteun pakk,0.0,0.0,1.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
lieur lah kang ningali nu meuntas bip padahal jambat ngajegir mani gede jeung mani hese hoyong mapah trotoar bec teh,1.0,0.0,0.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
rt 2112 urc bojonagara lanjut eru salur jl sukawarna br https,0.0,1.0,0.0
rt 2112 urc bojonagara lanjut baik jl dr eyckman,0.0,1.0,0.0
rt 2112 urc bojonagara pasang ubin difabel jl cicendo,0.0,1.0,0.0
rt 2112 urc tegallega pasang plat beton salur jl moch toha https,0.0,1.0,0.0
rt 2112 urc ujungberung eru salur jl golf selatan i,0.0,1.0,0.0
rt 2112 urc gedebage eru salur jl sukarno hatta,0.0,1.0,0.0
rt 2112 urc cibeunying eru salur jl veteran jl sunda https,0.0,1.0,0.0
rt 2112 urc cibeunying lanjut prbaikan kirmir sal jl gudang utara https,0.0,1.0,0.0
rt 2112 urc bojonagara angkut sendimen jl sukawarna baru,0.0,1.0,0.0
rt 2112 urc bojonagara pasang ubin difabel jl cicendo,0.0,1.0,0.0
rt cc rt sangga gedung khawatir deh pak takut roboh,1.0,0.0,0.0
lampu terang jalan panjang jalan bima kelarjuna keccicendo mati hawatir rawan hatur nuhun,1.0,0.0,0.0
rt bdg wartabdg lebih tegas kotabdg evaluasi sistem gembok parkir,0.0,0.0,1.0
kirmir kali cicadas rw13 kel bbksurabaya longsor mhn bantu cc,1.0,0.0,0.0
hatur nuhun urc gedebage atas eru salur merkuri kel manjahlega,0.0,1.0,0.0
tiap hari lewat bolak balik pa uang habis buat bayar jalan aja mah ga cara,1.0,0.0,0.0
ayo pesan sendal bulunyaall size idr 30k hangat amp nyaman kaki,0.0,0.0,1.0
tikung jl wastu kencana belok arah gd paku,0.0,0.0,1.0
